Price,Cities,departure_time,arrival_time,Airline,Cabin,Dept_city,Dept_date,arrival_city,stops,duration_time,duration,weekday,dept_hours,Dept_flights_time,optimal_hours
5307,"Mumbai to Varanasi , 11 May",13:20,15:35,Vistara,PE,Mumbai,11,Varanasi ,0,0 days 02:15:00,135.0,1,13,Afternoon_flight,18
7616,"Mumbai to Varanasi , 11 May",19:45,14:45,Vistara,PE,Mumbai,11,Varanasi ,1,-1 days +19:00:00,1140.0,1,19,Evening_flight,0
5882,"Mumbai to Varanasi , 11 May",14:45,17:10,Spicejet,PE,Mumbai,11,Varanasi ,0,0 days 02:25:00,145.0,1,14,Afternoon_flight,19
10031,"Mumbai to Varanasi , 11 May",22:50,20:00,Spicejet,PE,Mumbai,11,Varanasi ,1,-1 days +21:10:00,1270.0,1,22,Night_flight,3
7614,"Mumbai to Indore , 11 May",19:45,09:45,Vistara,PE,Mumbai,11,Indore ,1,-1 days +14:00:00,840.0,1,19,Evening_flight,0
8070,"Mumbai to Srinagar , 11 May",19:35,08:10,Spicejet,PE,Mumbai,11,Srinagar ,1,-1 days +12:35:00,755.0,1,19,Evening_flight,0
6449,"Mumbai to Amritsar , 11 May",22:50,18:35,Spicejet,PE,Mumbai,11,Amritsar ,1,-1 days +19:45:00,1185.0,1,22,Night_flight,3
6488,"Mumbai to Chandigarh , 11 May",19:45,14:45,Vistara,PE,Mumbai,11,Chandigarh ,1,-1 days +19:00:00,1140.0,1,19,Evening_flight,0
7616,"Mumbai to Raipur , 11 May",19:45,08:20,Vistara,PE,Mumbai,11,Raipur ,1,-1 days +12:35:00,755.0,1,19,Evening_flight,0
7616,"Mumbai to Raipur , 11 May",10:25,08:20,Vistara,PE,Mumbai,11,Raipur ,1,-1 days +21:55:00,1315.0,1,10,Morning_flight,15
7725,"Mumbai to Port Blair , 11 May",06:00,09:20,Spicejet,PE,Mumbai,11,Port Blair ,1,0 days 03:20:00,200.0,1,6,Morning_flight,11
6727,"Bengaluru to New Delhi , 11 May",17:45,20:20,Vistara,PE,Bengaluru,11,New Delhi ,0,0 days 02:35:00,155.0,1,17,Evening_flight,22
6916,"Bengaluru to New Delhi , 11 May",05:55,08:40,Spicejet,PE,Bengaluru,11,New Delhi ,0,0 days 02:45:00,165.0,1,5,Morning_flight,10
8966,"Bengaluru to Mumbai , 11 May",17:45,15:00,Vistara,PE,Bengaluru,11,Mumbai ,1,-1 days +21:15:00,1275.0,1,17,Evening_flight,22
4068,"Bengaluru to Chennai , 11 May",21:50,23:05,Spicejet,PE,Bengaluru,11,Chennai ,0,0 days 01:15:00,75.0,1,21,Night_flight,2
8965,"Bengaluru to Kolkata , 11 May",17:45,09:35,Vistara,PE,Bengaluru,11,Kolkata ,1,-1 days +15:50:00,950.0,1,17,Evening_flight,22
6238,"Bengaluru to Kolkata , 11 May",18:05,20:40,Spicejet,PE,Bengaluru,11,Kolkata ,0,0 days 02:35:00,155.0,1,18,Evening_flight,23
12172,"Bengaluru to Kolkata , 11 May",05:15,08:25,Spicejet,PE,Bengaluru,11,Kolkata ,0,0 days 03:10:00,190.0,1,5,Morning_flight,10
8848,"Bengaluru to Guwahati , 11 May",17:45,12:05,Vistara,PE,Bengaluru,11,Guwahati ,1,-1 days +18:20:00,1100.0,1,17,Evening_flight,22
7424,"Bengaluru to Guwahati , 11 May",05:55,12:45,Spicejet,PE,Bengaluru,11,Guwahati ,1,0 days 06:50:00,410.0,1,5,Morning_flight,10
7006,"Bengaluru to Patna , 11 May",05:55,16:55,Spicejet,PE,Bengaluru,11,Patna ,1,0 days 11:00:00,660.0,1,5,Morning_flight,10
