Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time,Cabin
"14,870","Chennai to Patna , 11 May",14:10,16:40,Non stop,Spicejet,2021-05-10 19:42:02,PE
"4,562","Chennai to Thiruvananthapuram , 11 May",05:20,14:45,1 stop via Bengaluru,Spicejet,2021-05-10 19:42:24,PE
"6,706","Chennai to Srinagar , 11 May",06:25,08:00,1 stop via Mumbai,Spicejet,2021-05-10 19:45:25,PE
"13,300","Chennai to Amritsar , 11 May",14:10,11:25,1 stop via Patna,Spicejet,2021-05-10 19:46:32,PE
"5,853","Kolkata to New Delhi , 11 May",15:20,17:45,Non stop,Vistara,2021-05-10 19:49:03,PE
"5,902","Kolkata to New Delhi , 11 May",14:15,19:35,1 stop via Jharsuguda,Spicejet,2021-05-10 19:49:03,PE
"5,902","Kolkata to New Delhi , 11 May",06:50,14:10,1 stop via Bagdogra,Spicejet,2021-05-10 19:49:03,PE
"8,526","Kolkata to Mumbai , 11 May",15:20,15:00,1 stop via New Delhi,Vistara,2021-05-10 19:49:25,PE
"7,460","Kolkata to Mumbai , 11 May",21:30,21:05,1 stop via Bengaluru,Spicejet,2021-05-10 19:49:25,PE
"6,126","Kolkata to Bengaluru , 11 May",06:55,09:40,Non stop,Spicejet,2021-05-10 19:49:46,PE
"6,126","Kolkata to Bengaluru , 11 May",21:30,00:20,Non stop,Spicejet,2021-05-10 19:49:46,PE
"5,900","Kolkata to Chennai , 11 May",21:30,23:05,1 stop via Bengaluru,Spicejet,2021-05-10 19:50:32,PE
"8,633","Kolkata to Goa , 11 May",21:30,11:05,1 stop via Bengaluru,Spicejet,2021-05-10 19:51:26,PE
"10,972","Kolkata to Guwahati , 11 May",06:25,15:25,1 stop via Silchar,Spicejet,2021-05-10 19:52:11,PE
"9,090","Kolkata to Thiruvananthapuram , 11 May",06:55,14:45,1 stop via Bengaluru,Spicejet,2021-05-10 19:53:41,PE
"5,023","Kolkata to Bagdogra , 11 May",06:50,08:25,Non stop,Spicejet,2021-05-10 19:54:48,PE
"8,142","Kolkata to Srinagar , 11 May",15:20,12:05,1 stop via New Delhi,Vistara,2021-05-10 19:56:32,PE
"7,378","Kolkata to Srinagar , 11 May",22:00,08:10,1 stop via New Delhi,Spicejet,2021-05-10 19:56:32,PE
"7,579","Kolkata to Amritsar , 11 May",15:20,14:50,1 stop via New Delhi,Vistara,2021-05-10 19:57:33,PE
"9,940","Kolkata to Amritsar , 11 May",22:00,18:45,1 stop via New Delhi,Spicejet,2021-05-10 19:57:33,PE
"5,820","Kolkata to Mangalore , 11 May",21:30,08:05,1 stop via Bengaluru,Spicejet,2021-05-10 19:58:34,PE
"5,820","Kolkata to Mangalore , 11 May",21:30,18:10,1 stop via Bengaluru,Spicejet,2021-05-10 19:58:34,PE
"5,820","Kolkata to Mangalore , 11 May",06:55,08:05,1 stop via Bengaluru,Spicejet,2021-05-10 19:58:34,PE
"5,853","Kolkata to Port Blair , 11 May",09:00,11:20,Non stop,Vistara,2021-05-10 19:58:57,PE
"7,892","Kochi to New Delhi , 11 May",19:30,22:40,Non stop,Vistara,2021-05-10 19:59:53,PE
"9,677","Kochi to Kolkata , 11 May",19:30,09:35,1 stop via New Delhi,Vistara,2021-05-10 20:01:59,PE
"9,677","Kochi to Pune , 11 May",19:30,12:35,1 stop via New Delhi,Vistara,2021-05-10 20:03:10,PE
"9,677","Kochi to Bhubaneswar , 11 May",19:30,09:05,1 stop via New Delhi,Vistara,2021-05-10 20:05:29,PE
"8,615","Kochi to Bagdogra , 11 May",19:30,09:45,1 stop via New Delhi,Vistara,2021-05-10 20:06:15,PE
"9,310","Kochi to Indore , 11 May",19:30,09:45,1 stop via New Delhi,Vistara,2021-05-10 20:07:23,PE
"9,290","Kochi to Srinagar , 11 May",19:30,12:05,1 stop via New Delhi,Vistara,2021-05-10 20:08:08,PE
"9,310","Kochi to Raipur , 11 May",19:30,08:20,1 stop via New Delhi,Vistara,2021-05-10 20:09:55,PE
"13,505","Goa to New Delhi , 11 May",11:25,08:40,1 stop via Bengaluru,Spicejet,2021-05-10 20:11:27,PE
"4,065","Goa to Mumbai , 11 May",13:20,14:45,Non stop,Vistara,2021-05-10 20:11:50,PE
"8,615","Goa to Bengaluru , 11 May",11:25,12:45,Non stop,Spicejet,2021-05-10 20:12:13,PE
"10,235","Goa to Chennai , 11 May",11:25,23:05,1 stop via Bengaluru,Spicejet,2021-05-10 20:12:58,PE
"13,195","Goa to Kolkata , 11 May",11:25,08:25,1 stop via Bengaluru,Spicejet,2021-05-10 20:13:21,PE
"14,284","Goa to Bagdogra , 11 May",11:25,08:50,1 stop via Bengaluru,Spicejet,2021-05-10 20:18:14,PE
"7,247","Goa to Chandigarh , 11 May",13:20,12:20,1 stop via Mumbai,Vistara,2021-05-10 20:21:08,PE
"5,637","Pune to New Delhi , 11 May",13:10,15:25,Non stop,Vistara,2021-05-10 20:23:06,PE
"5,910","Pune to New Delhi , 11 May",08:35,10:40,Non stop,Spicejet,2021-05-10 20:23:06,PE
"11,417","Pune to Kolkata , 11 May",19:40,09:25,1 stop via Chennai,Spicejet,2021-05-10 20:24:51,PE
"8,289","Pune to Guwahati , 11 May",13:10,12:05,1 stop via New Delhi,Vistara,2021-05-10 20:26:06,PE
"24,450","Pune to Guwahati , 11 May",19:40,10:50,1 stop via Chennai,Spicejet,2021-05-10 20:26:06,PE
"6,891","Pune to Patna , 11 May",08:35,09:00,1 stop via New Delhi,Spicejet,2021-05-10 20:27:15,PE
"7,509","Pune to Bagdogra , 11 May",13:10,09:45,1 stop via New Delhi,Vistara,2021-05-10 20:28:42,PE
"7,611","Pune to Bagdogra , 11 May",08:35,11:35,1 stop via New Delhi,Spicejet,2021-05-10 20:28:42,PE
"6,842","Pune to Varanasi , 11 May",13:15,15:25,Non stop,Spicejet,2021-05-10 20:29:27,PE
"7,926","Pune to Srinagar , 11 May",13:10,12:05,1 stop via New Delhi,Vistara,2021-05-10 20:30:35,PE
"7,172","Pune to Srinagar , 11 May",08:35,08:10,1 stop via New Delhi,Spicejet,2021-05-10 20:30:35,PE
"8,469","Pune to Mangalore , 11 May",19:30,20:15,1 stop via Hyderabad,Spicejet,2021-05-10 20:32:51,PE
"7,356","Pune to Port Blair , 11 May",19:40,09:20,1 stop via Chennai,Spicejet,2021-05-10 20:33:14,PE
"6,938","Guwahati to New Delhi , 11 May",16:00,18:40,Non stop,Spicejet,2021-05-10 20:34:05,PE
"7,743","Guwahati to Bengaluru , 11 May",16:00,09:05,1 stop via New Delhi,Spicejet,2021-05-10 20:34:50,PE
"6,686","Guwahati to Hyderabad , 11 May",19:55,20:10,1 stop via Chennai,Spicejet,2021-05-10 20:35:13,PE
"8,338","Guwahati to Chennai , 11 May",19:55,22:35,Non stop,Spicejet,2021-05-10 20:35:36,PE
"5,066","Guwahati to Kolkata , 11 May",13:15,10:00,1 stop via Silchar,Spicejet,2021-05-10 20:35:58,PE
"6,268","Guwahati to Goa , 11 May",16:00,09:25,1 stop via New Delhi,Spicejet,2021-05-10 20:36:36,PE
"6,713","Guwahati to Pune , 11 May",16:00,18:55,1 stop via New Delhi,Spicejet,2021-05-10 20:36:59,PE
"6,638","Guwahati to Jaipur , 11 May",11:20,14:20,Non stop,Spicejet,2021-05-10 20:37:57,PE
"6,985","Guwahati to Srinagar , 11 May",16:00,12:45,1 stop via New Delhi,Spicejet,2021-05-10 20:41:40,PE
"6,985","Guwahati to Srinagar , 11 May",16:00,16:10,1 stop via New Delhi,Spicejet,2021-05-10 20:41:40,PE
"6,853","Guwahati to Amritsar , 11 May",16:00,18:45,1 stop via New Delhi,Spicejet,2021-05-10 20:42:44,PE
"6,159","New Delhi to Mumbai , 12 May",12:50,15:00,Non stop,Vistara,2021-05-10 20:45:28,PE
"6,159","New Delhi to Mumbai , 12 May",15:30,17:40,Non stop,Vistara,2021-05-10 20:45:28,PE
"5,326","New Delhi to Mumbai , 12 May",05:45,06:35,1 stop via Ahmedabad,Spicejet,2021-05-10 20:45:28,PE
"6,663","New Delhi to Bengaluru , 12 May",14:15,17:05,Non stop,Vistara,2021-05-10 20:45:47,PE
"6,626","New Delhi to Bengaluru , 12 May",07:00,12:45,1 stop via Goa,Spicejet,2021-05-10 20:45:47,PE
"6,626","New Delhi to Bengaluru , 12 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-10 20:45:47,PE
"6,626","New Delhi to Bengaluru , 12 May",05:45,21:20,1 stop via Jabalpur,Spicejet,2021-05-10 20:45:47,PE
"6,626","New Delhi to Bengaluru , 12 May",19:10,13:20,1 stop via Patna,Spicejet,2021-05-10 20:45:47,PE
"5,319","New Delhi to Hyderabad , 12 May",14:45,17:00,Non stop,Vistara,2021-05-10 20:46:10,PE
"5,363","New Delhi to Hyderabad , 12 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-10 20:46:10,PE
"6,663","New Delhi to Chennai , 12 May",13:30,16:20,Non stop,Vistara,2021-05-10 20:46:32,PE
"6,625","New Delhi to Chennai , 12 May",14:50,17:15,1 stop via Jharsuguda,Spicejet,2021-05-10 20:46:32,PE
"5,319","New Delhi to Kolkata , 12 May",07:30,09:35,Non stop,Vistara,2021-05-10 20:46:52,PE
"5,369","New Delhi to Kolkata , 12 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-10 20:46:52,PE
"5,369","New Delhi to Kolkata , 12 May",13:10,10:40,1 stop via Bagdogra,Spicejet,2021-05-10 20:46:52,PE
"5,369","New Delhi to Kolkata , 12 May",14:50,17:05,1 stop via Jharsuguda,Spicejet,2021-05-10 20:46:52,PE
"5,595","New Delhi to Kolkata , 12 May",18:20,20:30,Non stop,Spicejet,2021-05-10 20:46:52,PE
